pair_id,url_a,url_b,page_type_a,page_type_b,locale,primary_intent_a,primary_intent_b,intent_relationship,functional_equivalence,same_outcome,serp_role,differentiated_value,cannibalization_candidate,action,confidence
105,https://funnytools.win/guides/classroom-random-group-no-repeat-guide/,https://funnytools.win/guides/fair-student-grouping-guide/,guide,guide,zh-TW,classroom-random-group-no-repeat-guide,fair-student-grouping-guide,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
106,https://funnytools.win/en/tools/standard-deviation/,https://funnytools.win/en/tools/z-score-calculator/,tool,tool,en,standard-deviation,z-score-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
107,https://funnytools.win/es/condiciones-de-uso/,https://funnytools.win/es/sobre-funnytools/,legal,legal,es,condiciones-de-uso,sobre-funnytools,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
108,https://funnytools.win/es/herramientas/dividir-pdf/,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,tool,tool,es,split-pdf,extract-pdf-pages,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
109,https://funnytools.win/tools/independent-samples-t-test-calculator/,https://funnytools.win/tools/standard-deviation/,tool,tool,zh-TW,independent-samples-t-test-calculator,standard-deviation,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
110,https://funnytools.win/tools/pdf-table-to-excel/,https://funnytools.win/tools/pdf-to-word/,tool,tool,zh-TW,pdf-table-to-excel,pdf-to-word,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
111,https://funnytools.win/fr/fonctionnement-outils/,https://funnytools.win/fr/outils/fusionner-pdf/,legal,tool,fr,fonctionnement-outils,merge-pdf,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
112,https://funnytools.win/fr/outils/compresser-image/,https://funnytools.win/fr/outils/convertir-jpg-en-png/,tool,tool,fr,image-compressor,jpg-to-png,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
113,https://funnytools.win/fr/outils/compresser-image/,https://funnytools.win/fr/outils/convertir-jpg-en-webp/,tool,tool,fr,image-compressor,jpg-to-webp,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
114,https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/guides/classroom-random-group-no-repeat-guide/,guide,guide,zh-TW,classroom-random-group-guide,classroom-random-group-no-repeat-guide,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
115,https://funnytools.win/fr/confidentialite/,https://funnytools.win/fr/fonctionnement-outils/,legal,legal,fr,confidentialite,fonctionnement-outils,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
116,https://funnytools.win/tools/pdf-page-reorder/,https://funnytools.win/tools/rotate-pdf/,tool,tool,zh-TW,pdf-page-reorder,rotate-pdf,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
117,https://funnytools.win/en/guides/z-score-calculator-guide/,https://funnytools.win/en/tools/z-score-calculator/,guide,tool,en,z-score-calculator-guide,z-score-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
118,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/flujos/informe-estadistico-investigacion/,category,workflow,es,estadistica,informe-estadistico-investigacion,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
119,https://funnytools.win/es/guias/prueba-t-formato-apa-7/,https://funnytools.win/es/herramientas/calculadora-t-muestras-independientes/,guide,tool,es,prueba-t-formato-apa-7,independent-samples-t-test-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
120,https://funnytools.win/tools/class-rank-percentile-calculator/,https://funnytools.win/tools/percentile-rank-calculator/,tool,tool,zh-TW,class-rank-percentile-calculator,percentile-rank-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
121,https://funnytools.win/category/study/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,category,workflow,zh-TW,study,teacher-classroom-random-toolkit,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
122,https://funnytools.win/es/apoyar-funnytools/,https://funnytools.win/es/contacto/,support,legal,es,apoyar-funnytools,contacto,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
123,https://funnytools.win/fr/outils/diviser-pdf/,https://funnytools.win/fr/outils/fusionner-pdf/,tool,tool,fr,split-pdf,merge-pdf,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
124,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/guias/grupos-aleatorios-clase/,category,guide,es,estudio,grupos-aleatorios-clase,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
125,https://funnytools.win/es/estadisticas-educativas/,https://funnytools.win/es/guias/,other,hub,es,estadisticas-educativas,guias,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
126,https://funnytools.win/es/herramientas/eliminar-paginas-pdf/,https://funnytools.win/es/herramientas/rotar-pdf/,tool,tool,es,delete-pdf-pages,rotate-pdf,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
127,https://funnytools.win/guides/merge-pdf-private-guide/,https://funnytools.win/tools/merge-pdf/,guide,tool,zh-TW,merge-pdf-private-guide,merge-pdf,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
128,https://funnytools.win/tools/bulk-image-compressor/,https://funnytools.win/tools/image-compressor/,tool,tool,zh-TW,bulk-image-compressor,image-compressor,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
129,https://funnytools.win/tools/group-generator/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,tool,workflow,zh-TW,group-generator,teacher-classroom-random-toolkit,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
130,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/guias/,category,hub,es,estadistica,guias,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
131,https://funnytools.win/es/flujos/actividades-aleatorias-aula/,https://funnytools.win/es/para/docentes/,workflow,audience,es,actividades-aleatorias-aula,docentes,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
132,https://funnytools.win/es/guias/limite-palabras-ensayos-examenes/,https://funnytools.win/es/herramientas/contador-palabras/,guide,tool,es,limite-palabras-ensayos-examenes,word-counter,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
133,https://funnytools.win/es/herramientas/recortar-imagen/,https://funnytools.win/es/herramientas/redimensionar-imagen/,tool,tool,es,image-crop,image-resizer,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
134,https://funnytools.win/tools/mortgage-payment/,https://funnytools.win/tools/savings-goal/,tool,tool,zh-TW,mortgage-payment,savings-goal,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
135,https://funnytools.win/tools/normalized-score-converter/,https://funnytools.win/tools/percentile-rank-calculator/,tool,tool,zh-TW,normalized-score-converter,percentile-rank-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
136,https://funnytools.win/tools/random-name-picker/,https://funnytools.win/tools/random-wheel/,tool,tool,zh-TW,random-name-picker,random-wheel,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
137,https://funnytools.win/tools/t-score-calculator/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,tool,workflow,zh-TW,t-score-calculator,teacher-exam-score-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
138,https://funnytools.win/en/guides/z-score-calculator-guide/,https://funnytools.win/en/tools/t-score-calculator/,guide,tool,en,z-score-calculator-guide,t-score-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
139,https://funnytools.win/es/guias/comprimir-fotos-para-email/,https://funnytools.win/es/herramientas/comprimir-imagenes/,guide,tool,es,comprimir-fotos-para-email,image-compressor,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
140,https://funnytools.win/fr/outils/supprimer-lignes-doublons/,https://funnytools.win/fr/outils/trier-lignes-texte/,tool,tool,fr,remove-duplicate-lines,sort-lines,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
141,https://funnytools.win/en/tools/jpg-to-png/,https://funnytools.win/en/tools/webp-to-jpg/,tool,tool,en,jpg-to-png,webp-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
142,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/categorias/estudio/,other,category,es,aviso-legal,estudio,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
143,https://funnytools.win/es/guias/agrupamientos-equitativos-aula/,https://funnytools.win/es/guias/grupos-aleatorios-clase/,guide,guide,es,agrupamientos-equitativos-aula,grupos-aleatorios-clase,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
144,https://funnytools.win/es/guias/fotos-a-pdf-desde-movil/,https://funnytools.win/es/herramientas/convertir-imagenes-a-pdf/,guide,tool,es,fotos-a-pdf-desde-movil,images-to-pdf,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
145,https://funnytools.win/es/guias/puntuacion-z-interpretacion/,https://funnytools.win/es/herramientas/calculadora-puntuacion-z/,guide,tool,es,puntuacion-z-interpretacion,z-score-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
146,https://funnytools.win/tools/random-name-picker/,https://funnytools.win/tools/random-number-picker/,tool,tool,zh-TW,random-name-picker,random-number-picker,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
147,https://funnytools.win/tools/teacher-exam-score-converter/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,tool,workflow,zh-TW,teacher-exam-score-converter,teacher-exam-score-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
148,https://funnytools.win/tools/z-score-calculator/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,tool,workflow,zh-TW,z-score-calculator,teacher-exam-score-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
149,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/categorias/estudio/,category,category,es,estadistica,estudio,ADJACENT,UNKNOWN,no,different or adjacent role,shared hierarchy vocabulary does not prove redundant page role,no,REVIEW_ONLY,LOW
150,https://funnytools.win/es/herramientas/eliminar-lineas-duplicadas/,https://funnytools.win/es/herramientas/ordenar-lineas-texto/,tool,tool,es,remove-duplicate-lines,sort-lines,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
151,https://funnytools.win/for/students/,https://funnytools.win/workflows/student-report-toolkit/,audience,workflow,zh-TW,students,student-report-toolkit,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
152,https://funnytools.win/guides/image-resampling-quality-guide/,https://funnytools.win/guides/image-resolution-print-web-guide/,guide,guide,zh-TW,image-resampling-quality-guide,image-resolution-print-web-guide,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
153,https://funnytools.win/tools/image-compressor/,https://funnytools.win/tools/jpg-to-png/,tool,tool,zh-TW,image-compressor,jpg-to-png,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
154,https://funnytools.win/en/guides/t-score-calculator-guide/,https://funnytools.win/en/workflows/teacher-exam-score-toolkit/,guide,workflow,en,t-score-calculator-guide,teacher-exam-score-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
155,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/para/oficina/,other,audience,es,aviso-legal,oficina,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
156,https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/guias/fotos-a-pdf-desde-movil/,category,guide,es,pdf,fotos-a-pdf-desde-movil,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
157,https://funnytools.win/es/guias/fotos-a-pdf-desde-movil/,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,guide,guide,es,fotos-a-pdf-desde-movil,unir-pdf-sin-subir-archivos,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
158,https://funnytools.win/tools/normalized-score-converter/,https://funnytools.win/tools/t-score-calculator/,tool,tool,zh-TW,normalized-score-converter,t-score-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
159,https://funnytools.win/tools/pdf-page-reorder/,https://funnytools.win/tools/pdf-to-image/,tool,tool,zh-TW,pdf-page-reorder,pdf-to-image,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
160,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/guias/,category,hub,es,estudio,guias,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
161,https://funnytools.win/es/condiciones-de-uso/,https://funnytools.win/es/privacidad/,legal,legal,es,condiciones-de-uso,privacidad,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
162,https://funnytools.win/fr/outils/roue-aleatoire/,https://funnytools.win/fr/outils/tirage-au-sort-noms/,tool,tool,fr,random-wheel,random-name-picker,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
163,https://funnytools.win/tools/age-calculator/,https://funnytools.win/tools/date-difference/,tool,tool,zh-TW,age-calculator,date-difference,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
164,https://funnytools.win/es/guias/anova-formato-apa-7/,https://funnytools.win/es/guias/interaccion-anova-dos-factores/,guide,guide,es,anova-formato-apa-7,interaccion-anova-dos-factores,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
165,https://funnytools.win/es/herramientas/calculadora-interes-compuesto/,https://funnytools.win/es/herramientas/calculadora-meta-ahorro/,tool,tool,es,compound-interest,savings-goal,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
166,https://funnytools.win/es/herramientas/crear-grafico-barras/,https://funnytools.win/es/herramientas/crear-grafico-circular/,tool,tool,es,bar-chart-maker,pie-chart-maker,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
167,https://funnytools.win/es/herramientas/crear-grupos-clase/,https://funnytools.win/es/herramientas/generador-grupos-aleatorios/,tool,tool,es,group-generator,random-group-generator,DIFFERENT,NO,no,different or adjacent role,different functional category,no,REVIEW_ONLY,LOW
168,https://funnytools.win/tools/merge-pdf/,https://funnytools.win/tools/pdf-page-reorder/,tool,tool,zh-TW,merge-pdf,pdf-page-reorder,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
169,https://funnytools.win/en/guides/t-score-calculator-guide/,https://funnytools.win/en/guides/z-score-calculator-guide/,guide,guide,en,t-score-calculator-guide,z-score-calculator-guide,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
170,https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/herramientas/unir-pdf/,category,tool,es,pdf,merge-pdf,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
171,https://funnytools.win/es/categorias/texto/,https://funnytools.win/es/para/desarrolladores/,category,audience,es,texto,desarrolladores,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
172,https://funnytools.win/fr/outils/creer-diagramme-circulaire/,https://funnytools.win/fr/outils/creer-graphique-barres/,tool,tool,fr,pie-chart-maker,bar-chart-maker,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
173,https://funnytools.win/guides/split-pdf-page-range-planning-guide/,https://funnytools.win/tools/split-pdf/,guide,tool,zh-TW,split-pdf-page-range-planning-guide,split-pdf,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
174,https://funnytools.win/es/categorias/azar/,https://funnytools.win/es/flujos/decisiones-cotidianas/,category,workflow,es,azar,decisiones-cotidianas,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
175,https://funnytools.win/es/flujos/,https://funnytools.win/es/para/oficina/,hub,audience,es,flujos,oficina,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
176,https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/redimensionar-imagen/,tool,tool,es,image-compressor,image-resizer,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
177,https://funnytools.win/guides/merge-pdf-reading-order-checklist-guide/,https://funnytools.win/guides/pdf-page-reorder-appendix-merge-check-guide/,guide,guide,zh-TW,merge-pdf-reading-order-checklist-guide,pdf-page-reorder-appendix-merge-check-guide,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
178,https://funnytools.win/tools/independent-samples-t-test-calculator/,https://funnytools.win/tools/normalized-score-converter/,tool,tool,zh-TW,independent-samples-t-test-calculator,normalized-score-converter,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
179,https://funnytools.win/category/random/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,category,workflow,zh-TW,random,teacher-classroom-random-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
180,https://funnytools.win/category/statistics/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,category,workflow,zh-TW,statistics,teacher-exam-score-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
181,https://funnytools.win/en/tools/teacher-exam-score-converter/,https://funnytools.win/en/tools/weighted-average-calculator/,tool,tool,en,teacher-exam-score-converter,weighted-average-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
182,https://funnytools.win/es/apoyar-funnytools/,https://funnytools.win/es/sobre-funnytools/,support,legal,es,apoyar-funnytools,sobre-funnytools,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
183,https://funnytools.win/es/guias/,https://funnytools.win/es/para/docentes/,hub,audience,es,guias,docentes,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
184,https://funnytools.win/es/herramientas/generador-informe-apa-7/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,tool,tool,es,apa-7-report-generator,spss-result-interpreter,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
185,https://funnytools.win/es/para/creadores/,https://funnytools.win/es/para/disenadores/,audience,audience,es,creadores,disenadores,ADJACENT,UNKNOWN,no,different or adjacent role,shared hierarchy vocabulary does not prove redundant page role,no,REVIEW_ONLY,LOW
186,https://funnytools.win/es/para/,https://funnytools.win/es/para/oficina/,hub,audience,es,para,oficina,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
187,https://funnytools.win/guides/fair-student-grouping-guide/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,guide,workflow,zh-TW,fair-student-grouping-guide,teacher-classroom-random-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
188,https://funnytools.win/tools/base64/,https://funnytools.win/tools/url-encoder/,tool,tool,zh-TW,base64,url-encoder,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
189,https://funnytools.win/tools/bulk-image-compressor/,https://funnytools.win/tools/jpg-to-webp/,tool,tool,zh-TW,bulk-image-compressor,jpg-to-webp,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
190,https://funnytools.win/en/guides/t-score-calculator-guide/,https://funnytools.win/en/tools/z-score-calculator/,guide,tool,en,t-score-calculator-guide,z-score-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
191,https://funnytools.win/es/flujos/,https://funnytools.win/es/para/,hub,hub,es,flujos,para,ADJACENT,UNKNOWN,no,different or adjacent role,shared hierarchy vocabulary does not prove redundant page role,no,REVIEW_ONLY,LOW
192,https://funnytools.win/es/guias/prueba-t-formato-apa-7/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,guide,tool,es,prueba-t-formato-apa-7,spss-result-interpreter,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
193,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,https://funnytools.win/es/herramientas/calcular-diferencia-entre-fechas/,tool,tool,es,business-days,date-difference,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
194,https://funnytools.win/es/herramientas/recordatorio-descansos/,https://funnytools.win/es/herramientas/temporizador-online/,tool,tool,es,break-reminder,countdown-timer,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
195,https://funnytools.win/guides/teacher-exam-weighted-score-guide/,https://funnytools.win/tools/weighted-average-calculator/,guide,tool,zh-TW,teacher-exam-weighted-score-guide,weighted-average-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
196,https://funnytools.win/en/tools/class-rank-percentile-calculator/,https://funnytools.win/en/tools/percentile-rank-calculator/,tool,tool,en,class-rank-percentile-calculator,percentile-rank-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
197,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/flujos/,category,hub,es,estudio,flujos,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
198,https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/convertir-jpg-a-png/,tool,tool,es,image-compressor,jpg-to-png,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
199,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,https://funnytools.win/es/herramientas/rotar-pdf/,tool,tool,es,extract-pdf-pages,rotate-pdf,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
200,https://funnytools.win/es/para/creadores/,https://funnytools.win/es/para/oficina/,audience,audience,es,creadores,oficina,ADJACENT,UNKNOWN,no,different or adjacent role,shared hierarchy vocabulary does not prove redundant page role,no,REVIEW_ONLY,LOW
201,https://funnytools.win/education-statistics/,https://funnytools.win/tools/z-score-calculator/,other,tool,zh-TW,education-statistics,z-score-calculator,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
202,https://funnytools.win/en/tools/t-score-calculator/,https://funnytools.win/en/workflows/teacher-exam-score-toolkit/,tool,workflow,en,t-score-calculator,teacher-exam-score-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
203,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/flujos/actividades-aleatorias-aula/,category,workflow,es,estudio,actividades-aleatorias-aula,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
204,https://funnytools.win/es/como-funcionan-las-herramientas/,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,legal,guide,es,como-funcionan-las-herramientas,unir-pdf-sin-subir-archivos,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
205,https://funnytools.win/es/flujos/informe-estadistico-investigacion/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,workflow,tool,es,informe-estadistico-investigacion,spss-result-interpreter,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
206,https://funnytools.win/es/herramientas/dividir-pdf/,https://funnytools.win/es/herramientas/eliminar-paginas-pdf/,tool,tool,es,split-pdf,delete-pdf-pages,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
207,https://funnytools.win/guides/seating-chart-changeover-routine-guide/,https://funnytools.win/guides/seating-chart-student-needs-intake-guide/,guide,guide,zh-TW,seating-chart-changeover-routine-guide,seating-chart-student-needs-intake-guide,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
208,https://funnytools.win/category/statistics/,https://funnytools.win/tools/z-score-calculator/,category,tool,zh-TW,statistics,z-score-calculator,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
