pair_id,url_a,url_b,page_type_a,page_type_b,locale,cluster_a,cluster_b,tool_slug_a,tool_slug_b,raw_main_similarity,boilerplate_adjusted_similarity,original_same_search_intent,intent_relationship,functional_equivalence,merge_confidence,merge_reason
117,https://funnytools.win/en/guides/z-score-calculator-guide/,https://funnytools.win/en/tools/z-score-calculator/,guide,tool,en,statistics,statistics,,z-score-calculator,0.842,0.745,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
118,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/flujos/informe-estadistico-investigacion/,category,workflow,es,statistics,statistics,,,0.842,0.836,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
119,https://funnytools.win/es/guias/prueba-t-formato-apa-7/,https://funnytools.win/es/herramientas/calculadora-t-muestras-independientes/,guide,tool,es,general,statistics,,independent-samples-t-test-calculator,0.842,0.836,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
120,https://funnytools.win/tools/class-rank-percentile-calculator/,https://funnytools.win/tools/percentile-rank-calculator/,tool,tool,zh-TW,statistics,statistics,class-rank-percentile-calculator,percentile-rank-calculator,0.842,0.669,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
121,https://funnytools.win/category/study/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,category,workflow,zh-TW,study,random,,,0.841,0.588,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
122,https://funnytools.win/es/apoyar-funnytools/,https://funnytools.win/es/contacto/,support,legal,es,general,general,,,0.841,0.843,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
123,https://funnytools.win/fr/outils/diviser-pdf/,https://funnytools.win/fr/outils/fusionner-pdf/,tool,tool,fr,pdf,pdf,split-pdf,merge-pdf,0.841,0.841,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
124,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/guias/grupos-aleatorios-clase/,category,guide,es,study,random,,,0.840,0.830,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
125,https://funnytools.win/es/estadisticas-educativas/,https://funnytools.win/es/guias/,other,hub,es,statistics,general,,,0.840,0.798,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
126,https://funnytools.win/es/herramientas/eliminar-paginas-pdf/,https://funnytools.win/es/herramientas/rotar-pdf/,tool,tool,es,pdf,pdf,delete-pdf-pages,rotate-pdf,0.840,0.839,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
127,https://funnytools.win/guides/merge-pdf-private-guide/,https://funnytools.win/tools/merge-pdf/,guide,tool,zh-TW,pdf,pdf,,merge-pdf,0.840,0.782,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
128,https://funnytools.win/tools/bulk-image-compressor/,https://funnytools.win/tools/image-compressor/,tool,tool,zh-TW,image,image,bulk-image-compressor,image-compressor,0.840,0.684,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
129,https://funnytools.win/tools/group-generator/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,tool,workflow,zh-TW,study,random,group-generator,,0.840,0.668,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
130,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/guias/,category,hub,es,statistics,general,,,0.839,0.813,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
131,https://funnytools.win/es/flujos/actividades-aleatorias-aula/,https://funnytools.win/es/para/docentes/,workflow,audience,es,random,teachers,,,0.839,0.797,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
132,https://funnytools.win/es/guias/limite-palabras-ensayos-examenes/,https://funnytools.win/es/herramientas/contador-palabras/,guide,tool,es,text,text,,word-counter,0.839,0.836,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
133,https://funnytools.win/es/herramientas/recortar-imagen/,https://funnytools.win/es/herramientas/redimensionar-imagen/,tool,tool,es,image,image,image-crop,image-resizer,0.839,0.834,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
134,https://funnytools.win/tools/mortgage-payment/,https://funnytools.win/tools/savings-goal/,tool,tool,zh-TW,money,money,mortgage-payment,savings-goal,0.839,0.765,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
135,https://funnytools.win/tools/normalized-score-converter/,https://funnytools.win/tools/percentile-rank-calculator/,tool,tool,zh-TW,statistics,statistics,normalized-score-converter,percentile-rank-calculator,0.839,0.496,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
136,https://funnytools.win/tools/random-name-picker/,https://funnytools.win/tools/random-wheel/,tool,tool,zh-TW,random,random,random-name-picker,random-wheel,0.839,0.590,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
137,https://funnytools.win/tools/t-score-calculator/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,tool,workflow,zh-TW,statistics,statistics,t-score-calculator,,0.839,0.722,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
138,https://funnytools.win/en/guides/z-score-calculator-guide/,https://funnytools.win/en/tools/t-score-calculator/,guide,tool,en,statistics,statistics,,t-score-calculator,0.838,0.679,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
139,https://funnytools.win/es/guias/comprimir-fotos-para-email/,https://funnytools.win/es/herramientas/comprimir-imagenes/,guide,tool,es,image,image,,image-compressor,0.838,0.834,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
140,https://funnytools.win/fr/outils/supprimer-lignes-doublons/,https://funnytools.win/fr/outils/trier-lignes-texte/,tool,tool,fr,text,text,remove-duplicate-lines,sort-lines,0.838,0.825,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
141,https://funnytools.win/en/tools/jpg-to-png/,https://funnytools.win/en/tools/webp-to-jpg/,tool,tool,en,image,image,jpg-to-png,webp-to-jpg,0.837,0.723,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
142,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/categorias/estudio/,other,category,es,general,study,,,0.837,0.826,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
143,https://funnytools.win/es/guias/agrupamientos-equitativos-aula/,https://funnytools.win/es/guias/grupos-aleatorios-clase/,guide,guide,es,random,random,,,0.837,0.836,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
144,https://funnytools.win/es/guias/fotos-a-pdf-desde-movil/,https://funnytools.win/es/herramientas/convertir-imagenes-a-pdf/,guide,tool,es,pdf,pdf,,images-to-pdf,0.837,0.832,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
145,https://funnytools.win/es/guias/puntuacion-z-interpretacion/,https://funnytools.win/es/herramientas/calculadora-puntuacion-z/,guide,tool,es,statistics,statistics,,z-score-calculator,0.837,0.825,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
146,https://funnytools.win/tools/random-name-picker/,https://funnytools.win/tools/random-number-picker/,tool,tool,zh-TW,random,random,random-name-picker,random-number-picker,0.837,0.695,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
147,https://funnytools.win/tools/teacher-exam-score-converter/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,tool,workflow,zh-TW,statistics,statistics,teacher-exam-score-converter,,0.837,0.765,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
148,https://funnytools.win/tools/z-score-calculator/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,tool,workflow,zh-TW,statistics,statistics,z-score-calculator,,0.837,0.727,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
149,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/categorias/estudio/,category,category,es,statistics,study,,,0.836,0.824,no,ADJACENT,UNKNOWN,LOW,shared hierarchy vocabulary does not prove redundant page role
150,https://funnytools.win/es/herramientas/eliminar-lineas-duplicadas/,https://funnytools.win/es/herramientas/ordenar-lineas-texto/,tool,tool,es,text,text,remove-duplicate-lines,sort-lines,0.836,0.832,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
151,https://funnytools.win/for/students/,https://funnytools.win/workflows/student-report-toolkit/,audience,workflow,zh-TW,students,general,,,0.836,0.704,yes,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
152,https://funnytools.win/guides/image-resampling-quality-guide/,https://funnytools.win/guides/image-resolution-print-web-guide/,guide,guide,zh-TW,image,image,,,0.836,0.716,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
153,https://funnytools.win/tools/image-compressor/,https://funnytools.win/tools/jpg-to-png/,tool,tool,zh-TW,image,image,image-compressor,jpg-to-png,0.836,0.667,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
154,https://funnytools.win/en/guides/t-score-calculator-guide/,https://funnytools.win/en/workflows/teacher-exam-score-toolkit/,guide,workflow,en,statistics,statistics,,,0.835,0.690,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
155,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/para/oficina/,other,audience,es,general,office-workers,,,0.835,0.825,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
156,https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/guias/fotos-a-pdf-desde-movil/,category,guide,es,pdf,pdf,,,0.835,0.822,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
157,https://funnytools.win/es/guias/fotos-a-pdf-desde-movil/,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,guide,guide,es,pdf,pdf,,,0.835,0.827,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
158,https://funnytools.win/tools/normalized-score-converter/,https://funnytools.win/tools/t-score-calculator/,tool,tool,zh-TW,statistics,statistics,normalized-score-converter,t-score-calculator,0.835,0.739,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
159,https://funnytools.win/tools/pdf-page-reorder/,https://funnytools.win/tools/pdf-to-image/,tool,tool,zh-TW,pdf,pdf,pdf-page-reorder,pdf-to-image,0.835,0.686,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
160,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/guias/,category,hub,es,study,general,,,0.834,0.813,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
161,https://funnytools.win/es/condiciones-de-uso/,https://funnytools.win/es/privacidad/,legal,legal,es,general,general,,,0.834,0.826,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
162,https://funnytools.win/fr/outils/roue-aleatoire/,https://funnytools.win/fr/outils/tirage-au-sort-noms/,tool,tool,fr,random,random,random-wheel,random-name-picker,0.834,0.837,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
163,https://funnytools.win/tools/age-calculator/,https://funnytools.win/tools/date-difference/,tool,tool,zh-TW,time,time,age-calculator,date-difference,0.834,0.671,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
164,https://funnytools.win/es/guias/anova-formato-apa-7/,https://funnytools.win/es/guias/interaccion-anova-dos-factores/,guide,guide,es,statistics,statistics,,,0.833,0.831,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
165,https://funnytools.win/es/herramientas/calculadora-interes-compuesto/,https://funnytools.win/es/herramientas/calculadora-meta-ahorro/,tool,tool,es,money,money,compound-interest,savings-goal,0.833,0.834,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
166,https://funnytools.win/es/herramientas/crear-grafico-barras/,https://funnytools.win/es/herramientas/crear-grafico-circular/,tool,tool,es,draw,draw,bar-chart-maker,pie-chart-maker,0.833,0.831,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
167,https://funnytools.win/es/herramientas/crear-grupos-clase/,https://funnytools.win/es/herramientas/generador-grupos-aleatorios/,tool,tool,es,study,random,group-generator,random-group-generator,0.833,0.828,no,DIFFERENT,NO,LOW,different functional category
168,https://funnytools.win/tools/merge-pdf/,https://funnytools.win/tools/pdf-page-reorder/,tool,tool,zh-TW,pdf,pdf,merge-pdf,pdf-page-reorder,0.833,0.685,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
169,https://funnytools.win/en/guides/t-score-calculator-guide/,https://funnytools.win/en/guides/z-score-calculator-guide/,guide,guide,en,statistics,statistics,,,0.832,0.726,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
170,https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/herramientas/unir-pdf/,category,tool,es,pdf,pdf,,merge-pdf,0.832,0.824,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
171,https://funnytools.win/es/categorias/texto/,https://funnytools.win/es/para/desarrolladores/,category,audience,es,text,developers,,,0.832,0.811,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
172,https://funnytools.win/fr/outils/creer-diagramme-circulaire/,https://funnytools.win/fr/outils/creer-graphique-barres/,tool,tool,fr,draw,draw,pie-chart-maker,bar-chart-maker,0.832,0.825,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
173,https://funnytools.win/guides/split-pdf-page-range-planning-guide/,https://funnytools.win/tools/split-pdf/,guide,tool,zh-TW,pdf,pdf,,split-pdf,0.832,0.719,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
174,https://funnytools.win/es/categorias/azar/,https://funnytools.win/es/flujos/decisiones-cotidianas/,category,workflow,es,random,general,,,0.831,0.827,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
175,https://funnytools.win/es/flujos/,https://funnytools.win/es/para/oficina/,hub,audience,es,drawing,office-workers,,,0.831,0.811,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
176,https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/redimensionar-imagen/,tool,tool,es,image,image,image-compressor,image-resizer,0.831,0.826,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
177,https://funnytools.win/guides/merge-pdf-reading-order-checklist-guide/,https://funnytools.win/guides/pdf-page-reorder-appendix-merge-check-guide/,guide,guide,zh-TW,pdf,pdf,,,0.831,0.726,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
178,https://funnytools.win/tools/independent-samples-t-test-calculator/,https://funnytools.win/tools/normalized-score-converter/,tool,tool,zh-TW,statistics,statistics,independent-samples-t-test-calculator,normalized-score-converter,0.831,0.580,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
179,https://funnytools.win/category/random/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,category,workflow,zh-TW,random,random,,,0.830,0.541,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
180,https://funnytools.win/category/statistics/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,category,workflow,zh-TW,statistics,statistics,,,0.830,0.750,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
181,https://funnytools.win/en/tools/teacher-exam-score-converter/,https://funnytools.win/en/tools/weighted-average-calculator/,tool,tool,en,statistics,statistics,teacher-exam-score-converter,weighted-average-calculator,0.830,0.700,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
182,https://funnytools.win/es/apoyar-funnytools/,https://funnytools.win/es/sobre-funnytools/,support,legal,es,general,general,,,0.830,0.829,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
183,https://funnytools.win/es/guias/,https://funnytools.win/es/para/docentes/,hub,audience,es,general,teachers,,,0.830,0.771,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
184,https://funnytools.win/es/herramientas/generador-informe-apa-7/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,tool,tool,es,statistics,statistics,apa-7-report-generator,spss-result-interpreter,0.830,0.818,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
185,https://funnytools.win/es/para/creadores/,https://funnytools.win/es/para/disenadores/,audience,audience,es,creators,designers,,,0.830,0.781,no,ADJACENT,UNKNOWN,LOW,shared hierarchy vocabulary does not prove redundant page role
186,https://funnytools.win/es/para/,https://funnytools.win/es/para/oficina/,hub,audience,es,general,office-workers,,,0.830,0.802,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
187,https://funnytools.win/guides/fair-student-grouping-guide/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,guide,workflow,zh-TW,random,random,,,0.830,0.677,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
188,https://funnytools.win/tools/base64/,https://funnytools.win/tools/url-encoder/,tool,tool,zh-TW,text,text,base64,url-encoder,0.830,0.610,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
189,https://funnytools.win/tools/bulk-image-compressor/,https://funnytools.win/tools/jpg-to-webp/,tool,tool,zh-TW,image,image,bulk-image-compressor,jpg-to-webp,0.830,0.668,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
190,https://funnytools.win/en/guides/t-score-calculator-guide/,https://funnytools.win/en/tools/z-score-calculator/,guide,tool,en,statistics,statistics,,z-score-calculator,0.829,0.764,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
191,https://funnytools.win/es/flujos/,https://funnytools.win/es/para/,hub,hub,es,drawing,general,,,0.829,0.792,no,ADJACENT,UNKNOWN,LOW,shared hierarchy vocabulary does not prove redundant page role
192,https://funnytools.win/es/guias/prueba-t-formato-apa-7/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,guide,tool,es,general,statistics,,spss-result-interpreter,0.829,0.821,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
193,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,https://funnytools.win/es/herramientas/calcular-diferencia-entre-fechas/,tool,tool,es,time,time,business-days,date-difference,0.829,0.825,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
194,https://funnytools.win/es/herramientas/recordatorio-descansos/,https://funnytools.win/es/herramientas/temporizador-online/,tool,tool,es,time,time,break-reminder,countdown-timer,0.829,0.827,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
195,https://funnytools.win/guides/teacher-exam-weighted-score-guide/,https://funnytools.win/tools/weighted-average-calculator/,guide,tool,zh-TW,statistics,statistics,,weighted-average-calculator,0.829,0.693,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
196,https://funnytools.win/en/tools/class-rank-percentile-calculator/,https://funnytools.win/en/tools/percentile-rank-calculator/,tool,tool,en,statistics,statistics,class-rank-percentile-calculator,percentile-rank-calculator,0.828,0.599,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
197,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/flujos/,category,hub,es,study,drawing,,,0.828,0.808,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
198,https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/convertir-jpg-a-png/,tool,tool,es,image,image,image-compressor,jpg-to-png,0.828,0.822,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
199,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,https://funnytools.win/es/herramientas/rotar-pdf/,tool,tool,es,pdf,pdf,extract-pdf-pages,rotate-pdf,0.828,0.828,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
200,https://funnytools.win/es/para/creadores/,https://funnytools.win/es/para/oficina/,audience,audience,es,creators,office-workers,,,0.828,0.810,no,ADJACENT,UNKNOWN,LOW,shared hierarchy vocabulary does not prove redundant page role
201,https://funnytools.win/education-statistics/,https://funnytools.win/tools/z-score-calculator/,other,tool,zh-TW,statistics,statistics,,z-score-calculator,0.827,0.693,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
202,https://funnytools.win/en/tools/t-score-calculator/,https://funnytools.win/en/workflows/teacher-exam-score-toolkit/,tool,workflow,en,statistics,statistics,t-score-calculator,,0.827,0.641,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
203,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/flujos/actividades-aleatorias-aula/,category,workflow,es,study,random,,,0.827,0.804,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
204,https://funnytools.win/es/como-funcionan-las-herramientas/,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,legal,guide,es,general,pdf,,,0.827,0.823,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
205,https://funnytools.win/es/flujos/informe-estadistico-investigacion/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,workflow,tool,es,statistics,statistics,,spss-result-interpreter,0.827,0.830,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
206,https://funnytools.win/es/herramientas/dividir-pdf/,https://funnytools.win/es/herramientas/eliminar-paginas-pdf/,tool,tool,es,pdf,pdf,split-pdf,delete-pdf-pages,0.827,0.827,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
207,https://funnytools.win/guides/seating-chart-changeover-routine-guide/,https://funnytools.win/guides/seating-chart-student-needs-intake-guide/,guide,guide,zh-TW,drawing,drawing,,,0.827,0.755,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
208,https://funnytools.win/category/statistics/,https://funnytools.win/tools/z-score-calculator/,category,tool,zh-TW,statistics,statistics,,z-score-calculator,0.826,0.749,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
209,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/como-funcionan-las-herramientas/,other,legal,es,general,general,,,0.826,0.823,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
210,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/sobre-funnytools/,category,legal,es,study,general,,,0.826,0.816,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
211,https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/recortar-imagen/,tool,tool,es,image,image,image-compressor,image-crop,0.826,0.820,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
212,https://funnytools.win/fr/fonctionnement-outils/,https://funnytools.win/fr/outils/diviser-pdf/,legal,tool,fr,general,pdf,,split-pdf,0.826,0.825,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
213,https://funnytools.win/fr/outils/calcul-moyenne-notes/,https://funnytools.win/fr/outils/calculateur-moyenne-ponderee/,tool,tool,fr,statistics,statistics,grade-average,weighted-average-calculator,0.826,0.814,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
214,https://funnytools.win/fr/outils/generateur-nombres-aleatoires/,https://funnytools.win/fr/outils/tirage-au-sort-noms/,tool,tool,fr,random,random,random-number-picker,random-name-picker,0.826,0.823,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
215,https://funnytools.win/tools/independent-samples-t-test-calculator/,https://funnytools.win/tools/z-score-calculator/,tool,tool,zh-TW,statistics,statistics,independent-samples-t-test-calculator,z-score-calculator,0.826,0.612,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
216,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/guias/agrupamientos-equitativos-aula/,category,guide,es,study,random,,,0.825,0.821,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
217,https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/herramientas/dividir-pdf/,category,tool,es,pdf,pdf,,split-pdf,0.825,0.818,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
218,https://funnytools.win/es/flujos/documentos-oficina/,https://funnytools.win/es/para/oficina/,workflow,audience,es,pdf,office-workers,,,0.825,0.797,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
219,https://funnytools.win/es/guias/prueba-t-formato-apa-7/,https://funnytools.win/es/herramientas/generador-informe-apa-7/,guide,tool,es,general,statistics,,apa-7-report-generator,0.825,0.802,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
220,https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/convertir-webp-a-jpg/,tool,tool,es,image,image,image-compressor,webp-to-jpg,0.825,0.831,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
221,https://funnytools.win/es/privacidad/,https://funnytools.win/es/sobre-funnytools/,legal,legal,es,general,general,,,0.825,0.819,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
222,https://funnytools.win/tools/weighted-average-calculator/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,tool,workflow,zh-TW,statistics,statistics,weighted-average-calculator,,0.825,0.666,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
223,https://funnytools.win/category/study/,https://funnytools.win/for/teachers/,category,audience,zh-TW,study,teachers,,,0.824,0.567,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
224,https://funnytools.win/en/tools/apa-7-report-generator/,https://funnytools.win/en/tools/spss-result-interpreter/,tool,tool,en,statistics,statistics,apa-7-report-generator,spss-result-interpreter,0.824,0.367,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
225,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/herramientas/calculadora-puntuacion-z/,category,tool,es,statistics,statistics,,z-score-calculator,0.824,0.822,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
226,https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,category,tool,es,pdf,pdf,,extract-pdf-pages,0.824,0.812,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
227,https://funnytools.win/es/flujos/,https://funnytools.win/es/para/estudiantes/,hub,audience,es,drawing,students,,,0.824,0.776,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
228,https://funnytools.win/es/guias/,https://funnytools.win/es/para/,hub,hub,es,general,general,,,0.824,0.800,yes,ADJACENT,UNKNOWN,LOW,shared hierarchy vocabulary does not prove redundant page role
229,https://funnytools.win/tools/percentile-rank-calculator/,https://funnytools.win/tools/standard-deviation/,tool,tool,zh-TW,statistics,statistics,percentile-rank-calculator,standard-deviation,0.824,0.537,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
230,https://funnytools.win/tools/random-wheel/,https://funnytools.win/tools/this-or-that/,tool,tool,zh-TW,random,random,random-wheel,this-or-that,0.824,0.658,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
231,https://funnytools.win/en/tools/csv-to-json/,https://funnytools.win/en/tools/json-to-csv/,tool,tool,en,text,text,csv-to-json,json-to-csv,0.823,0.724,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
232,https://funnytools.win/es/categorias/azar/,https://funnytools.win/es/categorias/estudio/,category,category,es,random,study,,,0.823,0.818,no,ADJACENT,UNKNOWN,LOW,shared hierarchy vocabulary does not prove redundant page role
233,https://funnytools.win/es/categorias/dibujo/,https://funnytools.win/es/para/disenadores/,category,audience,es,draw,designers,,,0.823,0.794,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
234,https://funnytools.win/es/para/oficina/,https://funnytools.win/es/sobre-funnytools/,audience,legal,es,office-workers,general,,,0.823,0.812,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
